company_tax_code,company_name,establishment_year,debt_group,credit_score,overdue_36m_count,total_current_debt,internal_rating,total_liabilities,owner_equity,ebitda,annual_debt_service
1277933982,Kwinu,2012,Nhóm 1 - Nợ chuẩn,850,0,50000000000,AAA,40000000000,30000000000,25000000000,8000000000
0101234567,Alpha Corp,2016,Nhóm 1 - Nợ chuẩn,750,0,18000000000,AA,35000000000,20000000000,10000000000,5000000000
9853801961,Voomm,2018,Nhóm 1 - Nợ chuẩn,849,2,300000000000,A,390000000000,35000000000,15000000000,18000000000
0309998887,Beta Corp,2019,Nhóm 1 - Nợ chuẩn,680,1,45000000000,BBB,50000000000,25000000000,3000000000,6000000000
0128265885,Gigabox,2015,Nhóm 2 - Nợ cần chú ý,615,4,65000000000,BB,70000000000,25000000000,12000000000,10500000000
2242118695,Dablist,2010,Nhóm 3 - Nợ dưới tiêu chuẩn,480,15,120000000000,B,150000000000,40000000000,8000000000,12000000000
6917580190,Kayveo,2008,Nhóm 4 - Nợ nghi ngờ,410,28,180000000000,CCC,220000000000,30000000000,5000000000,20000000000
7855258141,Yodoo,2005,Nhóm 5 - Nợ có khả năng mất vốn,320,45,250000000000,CCC,320000000000,15000000000,-2000000000,30000000000
0416764972,Fivespan Tech,2023,Nhóm 1 - Nợ chuẩn,695,0,0,BBB,12000000000,10000000000,4500000000,3000000000
8407952546,Janyx Logistics,2014,Nhóm 1 - Nợ chuẩn,715,1,80000000000,A,130000000000,50000000000,25000000000,20000000000
